,CaseID,W1_Q1,W1_Q2,W1_Q3,W1_Q4,W1_Q5,W1_Q6,W1_Q7,W1_Q8a,W1_Q8b,W2_Q16,ppage,ppeducat,ppethm,ppgender,ppincimp,ppstaten,Party_ID,Ideology,Panel_Tenure_Months,OCC_GA,OCC_WA,OCC_NU,OCC_CC,OCC_JA,OCC_CO,OCC_FA,OCC_RS,OCC_DR,OCC_CP,OCC_TE,FB09,fisexp1,fisexp2,censusgroup
3840,389.0,Once in a while,Fair,,Be reduced a lot,30.0,50.0,75.0,85.0,,Be reduced a lot,68.0,Bachelor's degree or higher,"Other, Non-Hispanic",Female,"$50,000 to $59,999",nj,Leans Republican,Conservative,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642884,2.0,2.0,
3850,390.0,Once in a while,Poor,Once in a while,Remain the same as it is,50.0,35.0,50.0,80.0,,Remain the same as it is,27.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$30,000 to $34,999",mn,Leans Republican,"Moderate, middle of the road",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13556229,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
3860,391.0,Never,Fair,Once in a while,Remain the same as it is,50.0,51.0,50.0,,50.0,Be reduced a little,61.0,Less than high school,"Black, Non-Hispanic",Female,"$7,500 to $9,999",ia,Strong Democrat,"Moderate, middle of the road",21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.22688544,1.0,1.0,Few Immigrants
3870,392.0,Once in a while,Good,About half the time,Be increased a little,50.0,50.0,60.0,50.0,,Be increased a little,20.0,Less than high school,"Other, Non-Hispanic",Male,"Less than $5,000",ct,Not Strong Democrat,Liberal,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,
3880,393.0,Once in a while,Poor,Never,Be increased a little,50.0,50.0,50.0,50.0,,Remain the same as it is,40.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$75,000 to $84,999",il,Not Strong Republican,Slightly conservative,72.0,,,,,,,,,,,,,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
3890,394.0,About half the time,Fair,About half the time,Be reduced a little,80.0,60.0,80.0,80.0,,,67.0,Some college,"White, Non-Hispanic",Female,"$40,000 to $49,999",tx,Leans Democrat,Slightly conservative,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139584,1.0,1.0,"Many Immigrants, Majority Hispanic"
3900,395.0,Once in a while,Poor,Never,Be reduced a little,50.0,50.0,50.0,50.0,,Be reduced a lot,49.0,Less than high school,"White, Non-Hispanic",Female,"$35,000 to $39,999",mi,Strong Democrat,Liberal,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
3910,396.0,Never,Very poor,Never,Be reduced a little,,30.0,50.0,,,Be reduced a little,43.0,Less than high school,"White, Non-Hispanic",Female,"$10,000 to $12,499",ar,Leans Democrat,Slightly conservative,11.0,,,,,,,,,,,,,1.0,1.0,Few Immigrants
3920,397.0,About half the time,Good,About half the time,Be reduced a lot,70.0,30.0,70.0,70.0,,Be reduced a lot,60.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$60,000 to $74,999",ny,Strong Democrat,Liberal,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124244,2.0,2.0,"Many Immigrants, Majority Hispanic"
3930,398.0,Never,Very poor,Once in a while,Remain the same as it is,50.0,60.0,50.0,50.0,,Be reduced a little,73.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$35,000 to $39,999",sd,Leans Democrat,Slightly liberal,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09350198,1.0,1.0,Few Immigrants
3940,399.0,Once in a while,Poor,Once in a while,Remain the same as it is,55.0,50.0,60.0,40.0,,Remain the same as it is,31.0,Bachelor's degree or higher,"Other, Non-Hispanic",Male,"$50,000 to $59,999",nj,Leans Democrat,"Moderate, middle of the road",15.0,,,,,,,,,,,,0.09350198,2.0,2.0,
3950,400.0,Once in a while,Fair,Once in a while,Be increased a little,60.0,70.0,60.0,60.0,,Be increased a little,37.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$100,000 to $124,999",tx,Leans Republican,Conservative,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417452,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
3960,401.0,Once in a while,Good,About half the time,Be reduced a little,50.0,50.0,50.0,75.0,,Remain the same as it is,68.0,High school,"White, Non-Hispanic",Female,"$60,000 to $74,999",in,Not Strong Democrat,Slightly liberal,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047080446,1.0,1.0,Few Immigrants
3970,402.0,Once in a while,Fair,Once in a while,Be reduced a lot,3.0,2.0,9.0,9.0,,Be reduced a lot,63.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$125,000 to $149,999",in,Strong Republican,Conservative,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,1.0,Few Immigrants
3980,403.0,Once in a while,Poor,About half the time,Remain the same as it is,70.0,70.0,90.0,70.0,,Remain the same as it is,33.0,Some college,"White, Non-Hispanic",Male,"$175,000 or more",ca,Leans Democrat,Slightly conservative,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
3990,404.0,Once in a while,Poor,Once in a while,Be reduced a little,50.0,60.0,70.0,70.0,,Remain the same as it is,43.0,Some college,Hispanic,Female,"$35,000 to $39,999",ca,Not Strong Republican,Conservative,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18242587,1.0,2.0,"Many Immigrants, Majority Hispanic"
4000,405.0,Never,Fair,Once in a while,Remain the same as it is,70.0,80.0,80.0,100.0,,Remain the same as it is,73.0,Some college,"White, Non-Hispanic",Male,"$40,000 to $49,999",ny,Undecided/Independent/Other,Slightly conservative,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049426,2.0,2.0,Few Immigrants
4010,406.0,Never,Fair,Once in a while,Be reduced a lot,45.0,45.0,60.0,98.0,,Be reduced a lot,65.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$35,000 to $39,999",ky,Strong Democrat,Extremely conservative,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09350198,1.0,1.0,Few Immigrants
4020,407.0,Never,Poor,Never,Be reduced a little,50.0,50.0,70.0,80.0,,Remain the same as it is,62.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$175,000 or more",nj,Not Strong Republican,"Moderate, middle of the road",110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11805371,2.0,2.0,
4030,408.0,Once in a while,Poor,Once in a while,Remain the same as it is,50.0,50.0,50.0,50.0,,Remain the same as it is,41.0,Some college,"Other, Non-Hispanic",Male,"$100,000 to $124,999",or,Leans Republican,Conservative,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417452,1.0,1.0,
4040,409.0,Once in a while,Fair,Once in a while,Remain the same as it is,50.0,50.0,50.0,,50.0,Remain the same as it is,68.0,High school,"Black, Non-Hispanic",Male,"$25,000 to $29,999",al,Strong Democrat,Liberal,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2610364,1.0,1.0,Few Immigrants
4050,410.0,Once in a while,Excellent,Most of the time,Be reduced a lot,20.0,15.0,10.0,75.0,,Be reduced a lot,50.0,Some college,Hispanic,Female,"$85,000 to $99,999",ny,Leans Republican,Slightly conservative,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124244,2.0,2.0,"Many Immigrants, Majority Not Hispanic"
4060,411.0,Once in a while,Fair,Once in a while,Be reduced a lot,0.0,0.0,0.0,,100.0,Be reduced a lot,43.0,High school,"Black, Non-Hispanic",Male,"$20,000 to $24,999",az,Not Strong Democrat,"Moderate, middle of the road",16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18494253,1.0,1.0,
4070,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Not Hispanic"
4080,413.0,About half the time,Fair,Once in a while,Be reduced a little,40.0,80.0,90.0,90.0,,Be reduced a lot,64.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$125,000 to $149,999",tx,Strong Republican,Slightly conservative,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09350198,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
4090,414.0,Never,Very poor,Once in a while,Be reduced a lot,20.0,30.0,30.0,100.0,,Be reduced a lot,66.0,Less than high school,"White, Non-Hispanic",Male,"$50,000 to $59,999",or,Leans Democrat,"Moderate, middle of the road",76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,"Many Immigrants, Majority Hispanic"
4100,415.0,Never,Poor,Never,Be reduced a lot,20.0,5.0,10.0,50.0,,Be reduced a lot,47.0,Less than high school,Hispanic,Female,"$100,000 to $124,999",wa,Undecided/Independent/Other,"Moderate, middle of the road",146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19315107,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
4110,416.0,Never,Poor,Never,Be reduced a lot,49.0,70.0,50.0,99.0,,Remain the same as it is,64.0,High school,"White, Non-Hispanic",Female,"$100,000 to $124,999",mo,Strong Democrat,Conservative,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2610364,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
4120,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
4130,418.0,Once in a while,Fair,About half the time,Be increased a lot,50.0,50.0,50.0,50.0,,Be increased a little,71.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$100,000 to $124,999",dc,Strong Democrat,Liberal,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,"Many Immigrants, Majority Hispanic"
4140,419.0,Never,Poor,Once in a while,Be increased a little,75.0,50.0,50.0,50.0,,Remain the same as it is,37.0,Some college,"White, Non-Hispanic",Male,"Less than $5,000",co,Not Strong Republican,"Moderate, middle of the road",18.0,,,,,,,,,,,,0.13170539,1.0,1.0,"Many Immigrants, Majority Hispanic"
4150,420.0,Once in a while,Good,About half the time,Be reduced a little,50.0,50.0,75.0,75.0,,Be reduced a little,20.0,High school,"White, Non-Hispanic",Female,"$50,000 to $59,999",wi,Leans Democrat,"Moderate, middle of the road",4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,Few Immigrants
4160,421.0,Once in a while,Fair,Once in a while,Remain the same as it is,75.0,75.0,75.0,75.0,,Remain the same as it is,55.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$150,000 to $174,999",or,Leans Democrat,"Moderate, middle of the road",97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11124244,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
4170,422.0,Once in a while,Fair,Once in a while,Remain the same as it is,95.0,95.0,95.0,,95.0,Remain the same as it is,58.0,Some college,"Black, Non-Hispanic",Female,"$60,000 to $74,999",fl,Leans Democrat,"Moderate, middle of the road",7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14449827,1.0,2.0,"Many Immigrants, Majority Hispanic"
4180,423.0,Once in a while,Poor,About half the time,Remain the same as it is,50.0,50.0,50.0,50.0,,Remain the same as it is,49.0,High school,"White, Non-Hispanic",Female,"$25,000 to $29,999",fl,Not Strong Republican,Slightly liberal,79.0,,,,,,,,,,,,0.058380287,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
4190,424.0,About half the time,Fair,Most of the time,Remain the same as it is,80.0,80.0,75.0,90.0,,Remain the same as it is,47.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$85,000 to $99,999",mi,Not Strong Republican,"Moderate, middle of the road",48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139584,1.0,1.0,Few Immigrants
4200,425.0,Never,Good,Once in a while,Be reduced a little,70.0,45.0,80.0,50.0,,Be reduced a little,46.0,Some college,Hispanic,Female,"$40,000 to $49,999",pa,Leans Democrat,Slightly conservative,44.0,,,,,,,,,,,,,1.0,1.0,Few Immigrants
4210,426.0,About half the time,Excellent,Most of the time,Be reduced a lot,70.0,30.0,15.0,75.0,,Be reduced a little,19.0,High school,"White, Non-Hispanic",Female,"$5,000 to $7,499",oh,Not Strong Democrat,Liberal,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23116839,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
4220,427.0,Once in a while,Very poor,Once in a while,Be increased a little,80.0,80.0,80.0,75.0,,Be increased a little,53.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$100,000 to $124,999",ny,Leans Democrat,"Moderate, middle of the road",76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,2.0,2.0,Few Immigrants
4230,428.0,About half the time,Fair,Once in a while,Be reduced a little,65.0,30.0,85.0,75.0,,Be reduced a little,30.0,Bachelor's degree or higher,"Other, Non-Hispanic",Male,"$150,000 to $174,999",ny,Not Strong Republican,Slightly conservative,4.0,,,,,,,,,,,,,2.0,2.0,"Many Immigrants, Majority Not Hispanic"
4240,429.0,Once in a while,Poor,Once in a while,Be reduced a lot,60.0,50.0,60.0,70.0,,Remain the same as it is,63.0,Some college,"White, Non-Hispanic",Male,"$85,000 to $99,999",pa,Strong Republican,Extremely conservative,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12541616,1.0,1.0,Few Immigrants
4250,430.0,About half the time,Good,Most of the time,Remain the same as it is,80.0,80.0,80.0,80.0,,Be reduced a little,53.0,Some college,"White, Non-Hispanic",Female,"$175,000 or more",mn,Not Strong Democrat,Slightly liberal,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
4260,431.0,Never,Fair,Once in a while,Be reduced a lot,50.0,50.0,50.0,50.0,,Be reduced a little,74.0,High school,"White, Non-Hispanic",Female,"$50,000 to $59,999",fl,Not Strong Republican,"Moderate, middle of the road",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,Few Immigrants
4270,432.0,Once in a while,Very poor,Never,Be reduced a lot,10.0,0.0,10.0,80.0,,Be reduced a lot,74.0,Less than high school,"White, Non-Hispanic",Male,"$25,000 to $29,999",ca,Strong Democrat,Slightly liberal,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08172033,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
4280,433.0,Never,Poor,Never,Be reduced a lot,40.0,30.0,50.0,50.0,,Be reduced a little,83.0,High school,"White, Non-Hispanic",Male,"$15,000 to $19,999",ia,Not Strong Democrat,"Moderate, middle of the road",104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,Few Immigrants
4290,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,435.0,About half the time,Excellent,Most of the time,Be reduced a lot,40.0,50.0,50.0,50.0,,Be reduced a lot,35.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$125,000 to $149,999",wi,Not Strong Republican,Conservative,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14449827,1.0,1.0,Few Immigrants
4310,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
4320,437.0,Once in a while,Very poor,Once in a while,Be reduced a lot,60.0,60.0,60.0,80.0,,Remain the same as it is,84.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$50,000 to $59,999",md,Strong Democrat,Liberal,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15965223,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
4330,438.0,About half the time,Good,About half the time,Remain the same as it is,80.0,80.0,80.0,90.0,,Be reduced a lot,68.0,High school,"White, Non-Hispanic",Female,"$10,000 to $12,499",oh,Not Strong Democrat,"Moderate, middle of the road",42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
4340,439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Many Immigrants, Majority Hispanic"
4350,440.0,Once in a while,Excellent,Once in a while,Be reduced a lot,50.0,50.0,50.0,100.0,,Be reduced a lot,45.0,High school,"White, Non-Hispanic",Male,"$25,000 to $29,999",nj,Leans Republican,Conservative,22.0,,,,,,,,,,,,,2.0,2.0,
4360,441.0,Never,Fair,Once in a while,Be reduced a lot,100.0,100.0,100.0,1.0,,Be reduced a lot,47.0,Less than high school,"White, Non-Hispanic",Female,"$7,500 to $9,999",tx,Leans Democrat,Conservative,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2089776,1.0,1.0,Few Immigrants
4370,442.0,Once in a while,Very poor,Once in a while,Be reduced a little,45.0,80.0,80.0,80.0,,Be reduced a little,79.0,Less than high school,"White, Non-Hispanic",Male,"$35,000 to $39,999",md,Strong Republican,Conservative,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541616,1.0,1.0,Few Immigrants
4380,443.0,Once in a while,Fair,Once in a while,Remain the same as it is,100.0,100.0,100.0,100.0,,Remain the same as it is,73.0,Less than high school,"White, Non-Hispanic",Male,"$35,000 to $39,999",pa,Leans Republican,Conservative,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13005003,1.0,1.0,Few Immigrants
4390,444.0,Never,Fair,Once in a while,Remain the same as it is,50.0,50.0,75.0,65.0,,Be increased a little,42.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$85,000 to $99,999",oh,Leans Democrat,"Moderate, middle of the road",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12541616,1.0,1.0,Few Immigrants
4400,445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4410,446.0,Once in a while,Fair,Once in a while,Remain the same as it is,80.0,80.0,80.0,80.0,,Remain the same as it is,48.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$150,000 to $174,999",ca,Strong Republican,Conservative,5.0,,,,,,,,,,,,,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
4420,447.0,Once in a while,Poor,Once in a while,Be reduced a lot,10.0,10.0,20.0,90.0,,Be reduced a lot,20.0,Some college,"White, Non-Hispanic",Male,"$100,000 to $124,999",ky,Not Strong Republican,Conservative,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
4430,448.0,Once in a while,Poor,Once in a while,Be increased a lot,55.0,75.0,50.0,50.0,,Be increased a lot,31.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$100,000 to $124,999",ca,Leans Democrat,Slightly liberal,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.122473806,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
4440,449.0,Once in a while,Very poor,Once in a while,Be reduced a lot,50.0,50.0,90.0,100.0,,Be reduced a little,68.0,Some college,"White, Non-Hispanic",Female,"$20,000 to $24,999",ca,Not Strong Republican,Slightly conservative,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139584,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
4450,450.0,Once in a while,Fair,Once in a while,Be reduced a little,60.0,50.0,70.0,70.0,,Be reduced a little,19.0,Some college,"White, Non-Hispanic",Male,"$75,000 to $84,999",al,Leans Republican,Conservative,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07161217,1.0,1.0,Few Immigrants
4460,451.0,Once in a while,Poor,About half the time,Be reduced a lot,56.0,56.0,56.0,50.0,,Be reduced a little,37.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$125,000 to $149,999",md,Not Strong Republican,Conservative,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12709278,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
4470,452.0,About half the time,Fair,About half the time,Be reduced a little,70.0,50.0,70.0,,100.0,Remain the same as it is,47.0,High school,"Black, Non-Hispanic",Male,"$7,500 to $9,999",md,Strong Democrat,"Moderate, middle of the road",40.0,,,,,,,,,,,,,1.0,1.0,Few Immigrants
4480,453.0,Once in a while,Fair,Once in a while,Be reduced a lot,20.0,10.0,20.0,,75.0,Be reduced a lot,67.0,High school,"Black, Non-Hispanic",Male,"$20,000 to $24,999",tx,Strong Democrat,"Moderate, middle of the road",3.0,,,,,,,,,,,,,1.0,1.0,"Many Immigrants, Majority Hispanic"
4490,454.0,Once in a while,Good,Once in a while,Remain the same as it is,90.0,90.0,90.0,90.0,,Remain the same as it is,27.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$30,000 to $34,999",pa,Leans Democrat,Liberal,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23116839,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
4500,455.0,About half the time,Poor,Most of the time,Be reduced a lot,10.0,20.0,70.0,80.0,,Be reduced a lot,30.0,Bachelor's degree or higher,"White, Non-Hispanic",Male,"$100,000 to $124,999",ma,Not Strong Democrat,Slightly liberal,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09350198,2.0,2.0,
4510,456.0,Once in a while,Fair,Once in a while,Be reduced a lot,0.0,0.0,0.0,50.0,,Be reduced a lot,56.0,Less than high school,"White, Non-Hispanic",Male,"$60,000 to $74,999",in,Not Strong Democrat,Slightly liberal,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2089776,1.0,1.0,Few Immigrants
4520,457.0,Never,Fair,Once in a while,Be reduced a lot,20.0,10.0,0.0,75.0,,Be reduced a little,63.0,High school,"White, Non-Hispanic",Female,"$50,000 to $59,999",il,Strong Republican,Extremely conservative,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139584,1.0,1.0,Few Immigrants
4530,458.0,Once in a while,Fair,Once in a while,Be reduced a lot,45.0,80.0,99.0,75.0,,Be reduced a lot,68.0,High school,"White, Non-Hispanic",Male,"$35,000 to $39,999",wv,Strong Republican,Extremely conservative,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106848456,1.0,1.0,
4540,459.0,Once in a while,Fair,Never,Be reduced a little,95.0,90.0,95.0,,100.0,Be reduced a lot,69.0,High school,"Black, Non-Hispanic",Male,"$75,000 to $84,999",nj,Strong Democrat,"Moderate, middle of the road",10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19315107,2.0,2.0,
4550,460.0,Never,Poor,Once in a while,Be reduced a lot,75.0,75.0,75.0,75.0,,Be reduced a little,51.0,Some college,"White, Non-Hispanic",Male,"$75,000 to $84,999",ne,Leans Republican,Conservative,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049426,1.0,1.0,Few Immigrants
4560,461.0,Once in a while,Fair,Once in a while,Be increased a little,85.0,85.0,85.0,80.0,,Remain the same as it is,30.0,Bachelor's degree or higher,Hispanic,Female,"$60,000 to $74,999",sd,Leans Democrat,Slightly liberal,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09350198,1.0,1.0,Few Immigrants
4570,462.0,Once in a while,Poor,Once in a while,Remain the same as it is,0.0,10.0,0.0,20.0,,Remain the same as it is,22.0,Less than high school,Hispanic,Female,"$7,500 to $9,999",ca,Strong Democrat,Extremely conservative,41.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2.0,"Many Immigrants, Majority Hispanic"
4580,463.0,Never,Poor,Once in a while,Remain the same as it is,75.0,75.0,80.0,100.0,,Be reduced a little,58.0,High school,"White, Non-Hispanic",Female,"$75,000 to $84,999",ca,Strong Republican,Extremely conservative,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,2.0,"Many Immigrants, Majority Not Hispanic"
4590,464.0,Never,Poor,Never,Remain the same as it is,10.0,10.0,10.0,10.0,,Remain the same as it is,59.0,Less than high school,Hispanic,Male,"$50,000 to $59,999",mi,Not Strong Democrat,"Moderate, middle of the road",9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13556229,1.0,1.0,Few Immigrants
4600,465.0,Never,Fair,Once in a while,Be reduced a little,50.0,50.0,70.0,70.0,,Be increased a lot,70.0,Bachelor's degree or higher,"White, Non-Hispanic",Female,"$100,000 to $124,999",me,Strong Republican,Conservative,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09350198,1.0,1.0,
4610,466.0,Never,Very poor,About half the time,Remain the same as it is,65.0,45.0,50.0,,85.0,Remain the same as it is,29.0,Bachelor's degree or higher,"Black, Non-Hispanic",Female,"$100,000 to $124,999",md,Not Strong Democrat,Slightly conservative,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417452,1.0,1.0,"Many Immigrants, Majority Not Hispanic"
4620,467.0,Once in a while,Good,About half the time,Be increased a little,50.0,50.0,50.0,50.0,,Be reduced a lot,60.0,Less than high school,"White, Non-Hispanic",Female,"$30,000 to $34,999",tn,Leans Republican,Conservative,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
4630,468.0,Never,Fair,Never,Remain the same as it is,60.0,50.0,80.0,60.0,,Remain the same as it is,23.0,Bachelor's degree or higher,"Other, Non-Hispanic",Male,"$85,000 to $99,999",pa,Not Strong Democrat,"Moderate, middle of the road",28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,Few Immigrants
